File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48
ATL_se0_ag1_f_02_1,710,ATL_se0_ag1_f_02,742.0953,745.7007,3.6054,"Cause Grandma be trying to watch her stories and get some peace, and he be barking at nobody for no",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cause,Grandma,be ,trying,to,watch,her,stories,and,get,some,"peace,",and,he,be,barking,at,nobody,for,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,710,ATL_se0_ag1_f_02,742.0953,745.7007,3.6054,"Cause Grandma be trying to watch her stories and get some peace, and he be barking at nobody for no",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cause,Grandma,be,trying,to,watch,her,stories,and,get,some,"peace,",and,he,be ,barking,at,nobody,for,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,1163,ATL_int_01,1264.5568,1267.928,3.3712,I- I know I hear that a lot from most northern people who be freaking out.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I-,I,know,I,hear,that,a,lot,from,most,northern,people,who,be ,freaking,out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,1951,ATL_se0_ag1_f_02,2190.2472,2193.7583,3.5111,"Y'all say it, but y'all don't say it. Now when females say, y'all be like,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y'all,say,"it,",but,y'all,don't,say,it.,Now,when,females,"say,",y'all,be ,"like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_03_1,1206,ATL_se0_ag1_f_03,1613.026,1615.9522,2.9262,"Like my best friend, I be hearing her say it, but she won't say it like bruh.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like,my,best,"friend,",I,be ,hearing,her,say,"it,",but,she,won't,say,it,like,bruh.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_03_1,1208,ATL_se0_ag1_f_03,1616.5099,1617.4094,0.8995,"But she be like bruh,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,But,she,be ,like,"bruh,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_03_1,1277,ATL_se0_ag1_f_03,1693.2861,1695.2419,1.9558,"sometimes they be rude like, the other day,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sometimes,they,be ,rude,"like,",the,other,"day,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_03_1,1301,ATL_se0_ag1_f_03,1727.723,1729.3172,1.5942,Or they be like what you finna do?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Or,they,be ,like,what,you,finna,do?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,43,ATL_se0_ag1_m_01,42.9965,48.0294,5.0329,"I- yeah d- I be putting that on job applications and everything, bruh, like ",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I-,yeah,d-,I,be ,putting,that,on,job,applications,and,"everything,","bruh,",like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,555,ATL_se0_ag1_m_01,780.576,782.1797,1.6037,"It just be a black shirt, like",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It,just,be ,a,black,"shirt,",like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,793,ATL_Int_01,1128.3856,1130.0402,1.6546,Do you ever be on the west side of Atlanta?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do,you,ever,be ,on,the,west,side,of,Atlanta?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,804,ATL_se0_ag1_m_01,1138.9986,1145.0346,6.036,"Cause you know, you know what I'm saying, you might, it depend, bruh. Some niggas be intimidated. You can't walk around there intimidated, like,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cause,you,"know,",you,know,what,I'm,"saying,",you,"might,",it,"depend,",bruh.,Some,niggas,be ,intimidated.,You,can't,walk,around,there,"intimidated,","like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,816,ATL_se0_ag1_m_01,1161.9893,1164.4203,2.431,"You know what I'm saying, like we just be kicking shit though like,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You,know,what,I'm,"saying,",like,we,just,be ,kicking,shit,though,"like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,822,ATL_se0_ag1_m_01,1174.4365,1177.3561,2.9196,"Other than that, bruh, we just be smoking jay, you know what I'm saying, chilling, bruh.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,than,"that,","bruh,",we,just,be ,smoking,"jay,",you,know,what,I'm,"saying,","chilling,",bruh.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1369,ATL_se0_ag1_m_01,1991.527,1992.8401,1.3131,But that bacon be calling me.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,But,that,bacon,be ,calling,me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1393,ATL_Int_01,2020.4356,2021.824,1.3884,"Sure, they be bustling.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sure,",they,be ,bustling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
