File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,WadaSNRMeade,WadaSNRRigal,NistSNRRigal,SyllableCount,SpeechRate
ATL_se0_ag2_m_03_1,2142,ATL_se0_ag2_m_03,2753.1078,2756.6034,3.4956,"off of that street grind shit, you feel me. I done seen niggas like, you know what I mean,",1,1,15.05594352,14.82,7.25,20,5.72147843
ATL_se0_ag2_m_03_1,2190,ATL_se0_ag2_m_03,2828.1548,2833.7475,5.5927,"I done s- I done- I done s- I done seen- I done heard your shit on a couple of niggas' shit, and niggas really wasn't spitting shit.",5,1,17.48430423,17.26,21.25,34,6.079353443
DCA_se1_ag1_f_02_1,1073,DCA_se1_ag1_f_02,1129.5122,1130.5894,1.0772,"um, my teacher done-",1,0,12.78337841,12.75,24.75,5,4.641663572
DCA_se1_ag1_f_02_1,1274,DCA_se1_ag1_f_02,1388.5287,1389.7737,1.245,cause I done holler at her back.,1,1,8.464406261,8.25,6.75,8,6.425702811
DCA_se1_ag1_f_02_1,1323,DCA_se1_ag1_f_02,1460.2396,1465.2791,5.0395,You done did all the work like you said. I did this. I did this. She won't let you read your library books or nothing.,1,1,13.35992396,13.32,29.5,28,5.556106757
DCA_se1_ag1_f_02_1,1445,DCA_se1_ag1_f_02,1611.5313,1612.3146,0.7833,She done make us-,1,1,25.47424528,25.21,30.5,4,5.106600281
DCA_se1_ag1_f_05_1,755,DCA_int_03,974.3747,977.0855,2.7108,Well how you gonna get your work done if you don't study? ,1,0,11.34304623,,,14,5.164527077
DCA_se1_ag1_f_05_1,1046,DCA_int_03,1351.8557,1355.7218,3.8661,you could have done in the past that you'd like to change- that you could do all over again differently?,1,0,7.826296478,7.44,9.25,25,6.466464913
DCA_se1_ag1_m_03_1,983,DCA_se1_ag1_m_03,1020.9801,1023.8758,2.8957,"Cause they had done got the ruby, and they had done put it back.",2,2,12.38505794,12.35,10.5,15,5.180094623
DCA_se1_ag1_m_03_1,1203,DCA_se1_ag1_m_03,1224.9988,1226.6215,1.6227,they done done in with Linc.,2,1,8.371842204,8.33,4.0,6,3.697541135
DCA_se1_ag1_m_03_1,1887,DCA_se1_ag1_m_03,1928.2624,1929.9644,1.702,"The sneakiest one I ever done,",1,0,12.24064541,12.15,24.0,6,3.525264395
DCA_se1_ag1_m_05_1,1012,DCA_se1_ag1_m_05,1588.4062,1590.5958,2.1896,did things that they shouldn't have done,1,0,4.089108643,4.03,4.25,8,3.653635367
DCA_se1_ag1_m_07_1,611,DCA_se1_ag1_m_07,811.767,815.7784,4.0114,"Cause you know, they made you get your work done, so you had to learn something when you leave there.",1,0,9.00785149,8.98,9.25,21,5.235080022
DCA_se1_ag2_m_01_1,579,DCA_se1_ag2_m_01,745.2891,747.1343,1.8452,"So what he done, he took the Ugly,",1,0,16.08819206,16.04,27.75,9,4.877520052
DCA_se1_ag3_f_01_1,1426,DCA_int_03,1822.0952,1824.9956,2.9004,would rather have done over again if you had the chance?,1,0,16.52939519,16.28,19.25,14,4.826920425
DCA_se1_ag3_f_01_1,1430,DCA_int_03,1828.6548,1829.8205,1.1657,you wish you had done.,1,0,12.55299693,12.37,13.0,5,4.289268251
DCA_se1_ag4_m_01_1,14,DCA_se1_ag4_m_01,19.5696,24.1672,4.5976,"One other game we played, I done forgot the name of it now. Uh..",1,1,10.46457416,10.44,7.25,16,3.480076562
DCA_se1_ag4_m_01_1,59,DCA_se1_ag4_m_01,94.2277,96.4049,2.1772,you done automatically won your points then.,1,1,22.09656147,22.05,20.5,11,5.05236083
DCA_se1_ag4_m_01_1,105,DCA_se1_ag4_m_01,179.8233,182.1523,2.329,"this crime story, but I done forgot the name of it!",1,1,19.82323291,19.75,13.5,13,5.581794762
DCA_se1_ag4_m_01_1,251,DCA_se1_ag4_m_01,407.3017,408.999,1.6973,"I done forgot the name of it, uh-",1,1,18.20657731,18.12,29.75,9,5.302539327
