File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27
ATL_se0_ag2_m_03_1,2007,ATL_se0_ag2_m_03,2561.3532,2563.2079,1.8547,"oh, this nigga done played me, bruh.",1,1,nigga,played,nigga_done_played,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,"oh,",this,nigga,done ,played,"me,",bruh.,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_03_1,2141,ATL_se0_ag2_m_03,2748.1853,2752.7328,4.5475,"The street grind is strong, you feel me, but it all depend on how your street grind is. Now I seen niggas done blew",1,1,niggas,blew,niggas_done_blew,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,The,street,grind,is,"strong,",you,feel,"me,",but,it,all,depend,on,how,your,street,grind,is.,Now,I,seen,niggas,done ,blew,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_03_1,2142,ATL_se0_ag2_m_03,2753.1078,2756.6034,3.4956,"off of that street grind shit, you feel me. I done seen niggas like, you know what I mean,",1,1,I,seen,I_done_seen,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,off,of,that,street,grind,"shit,",you,feel,me.,I,done ,seen,niggas,"like,",you,know,what,I,"mean,",,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_03_1,2190,ATL_se0_ag2_m_03,2828.1548,2833.7475,5.5927,"I done s- I done- I done s- I done seen- I done heard your shit on a couple of niggas' shit, and niggas really wasn't spitting shit.",5,1,I,heard,I_done_heard,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,I,done,s-,I,done-,I,done,s-,I,done,seen-,I,done ,heard,your,shit,on,a,couple,of,niggas',"shit,",and,niggas,really,wasn't,spitting,shit.,,,,,,,,,,,,
DCA_se1_ag1_f_02_1,1274,DCA_se1_ag1_f_02,1388.5287,1389.7737,1.245,cause I done holler at her back.,1,1,I,holler,I_done_holler,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,,,,,,,,,cause,I,done ,holler,at,her,back.,,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag1_f_02_1,1323,DCA_se1_ag1_f_02,1460.2396,1465.2791,5.0395,You done did all the work like you said. I did this. I did this. She won't let you read your library books or nothing.,1,1,you,did,you_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,You,done ,did,all,the,work,like,you,said.,I,did,this.,I,did,this.,She,won't,let,you,read,your,library,books,or,nothing.,,,,
DCA_se1_ag1_f_02_1,1445,DCA_se1_ag1_f_02,1611.5313,1612.3146,0.7833,She done make us-,1,1,she,make,she_done_make,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,,,,,,,,,,She,done ,make,us-,,,,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag1_m_03_1,983,DCA_se1_ag1_m_03,1020.9801,1023.8758,2.8957,"Cause they had done got the ruby, and they had done put it back.",2,2,they,got,they_done_got,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,Cause,they,had,done ,got,the,"ruby,",and,they,had,done,put,it,back.,,,,,,,,,,,,,,,,,
DCA_se1_ag1_m_03_1,983,DCA_se1_ag1_m_03,1020.9801,1023.8758,2.8957,"Cause they had done got the ruby, and they had done put it back.",2,2,they,put,they_done_put,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,Cause,they,had,done,got,the,"ruby,",and,they,had,done ,put,it,back.,,,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag1_m_03_1,1203,DCA_se1_ag1_m_03,1224.9988,1226.6215,1.6227,they done done in with Linc.,2,1,they,done,they_done_done,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,they,done,done ,in,with,Linc.,,,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag4_m_01_1,14,DCA_se1_ag4_m_01,19.5696,24.1672,4.5976,"One other game we played, I done forgot the name of it now. Uh..",1,1,I,forgot,I_done_forgot,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,One,other,game,we,"played,",I,done ,forgot,the,name,of,it,now.,Uh..,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag4_m_01_1,59,DCA_se1_ag4_m_01,94.2277,96.4049,2.1772,you done automatically won your points then.,1,1,you,won,you_done_won,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,you,done ,automatically,won,your,points,then.,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag4_m_01_1,105,DCA_se1_ag4_m_01,179.8233,182.1523,2.329,"this crime story, but I done forgot the name of it!",1,1,I,forgot,I_done_forgot,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,this,crime,"story,",but,I,done ,forgot,the,name,of,it!,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag4_m_01_1,251,DCA_se1_ag4_m_01,407.3017,408.999,1.6973,"I done forgot the name of it, uh-",1,1,I,forgot,I_done_forgot,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,I,done ,forgot,the,name,of,"it,",uh-,,,,,,,,,,,,,,,,,,,,,
DCA_se2_ag3_m_01_1,2578,DCA_se2_ag3_m_01,2724.9954,2730.399,5.4036,"you know, you don't have enough money to pay for it. You done order all this food up, you know, and you don't have enough money to pay for it.",1,1,you,order,you_done_order,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,you,"know,",you,don't,have,enough,money,to,pay,for,it.,You,done ,order,all,this,food,"up,",you,"know,",and,you,don't,have,enough,money,to,pay,for,it.,,,,,,,,,,
DCA_se2_ag3_m_02_1,582,DCA_se2_ag3_m_02,686.3159,687.9246,1.6087,"whatever his name was, I done forgot his name.",1,1,I,forgot,I_done_forgot,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,whatever,his,name,"was,",I,done ,forgot,his,name.,,,,,,,,,,,,,,,,,,,,,,,,
DCA_se3_ag1_f_04_1,720,DCA_se3_ag1_f_04,781.5161,783.2441,1.728,She done holler at me all the time.,1,1,she,holler,she_done_holler,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,,,,,,,,,,She,done ,holler,at,me,all,the,time.,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_f_02_1,2158,DCB_se1_ag2_f_02,3149.8151,3151.5991,1.784,"Like people done got killed at go gos,",1,1,people,killed,people_done_killed,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,Like,people,done ,got,killed,at,go,"gos,",,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_m_01_1,258,DCB_se1_ag2_m_01,385.6074,386.8599,1.2525,she done got honor roll since,1,1,she,got,she_done_got,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,she,done ,got,honor,roll,since,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_m_01_1,442,DCB_se1_ag2_m_01,636.2518,638.4675,2.2157,I don't- I done did a couple of romantic things.,1,1,I,did,I_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,I,don't-,I,done ,did,a,couple,of,romantic,things.,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_m_01_1,448,DCB_se1_ag2_m_01,647.523,648.7585,1.2355,See well I can't- she done did that.,1,1,she,did,she_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,See,well,I,can't-,she,done ,did,that.,,,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_m_01_1,2741,DCB_se1_ag2_m_01,3743.4447,3749.9417,6.497,"you understand that this shit this woman done did for me like she did so much shit for me like and I just grow to appreciate it, you know what I'm saying. Like at first,",1,1,woman,did,woman_done_did,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,,,,,,,,,,,,,,,,you,understand,that,this,shit,this,woman,done ,did,for,me,like,she,did,so,much,shit,for,me,like,and,I,just,grow,to,appreciate,"it,",you,know,what,I'm,saying.,Like,at,"first,"
